id,kode,nama,categoryId,mitra,stok,modal,p1,p2,p3,p4,lokasiItem,lokasiStock,notes
4268,06455-KVB-T01,DISCPAD DPN AHM VARIO TECHNO/CBS/BEAT FI,,,10,51350,65000,55300,58500,60000,,,
4347,06455-KVB-T01-IP,DISCPAD DPN IP VARIO CBS/ TECHNO/ VARIO FI,,,8,14760,20500,17500,18500,19000,,,
4257,06455-KVY-911,DISCPAD DPN AHM BEAT OLD,,AHM,0,43450,55000,46800,49500,51000,,,
4333,06455-KVY-911-IP,DISCPAD DPN IP BEAT OLD,,,10,15840,22000,18700,19800,20500,,,
4258,06455-KWB-601,DISCPAD DPN AHM BLADE/REVO ABS/SUPRAX125 FI,,AHM,5,46610,59000,50200,53100,54500,,,
4334,06455-KWB-601-IP,DISCPAD DPN IP BLADE/ REVO ABS,,MATARAM MITRA SENTOSA,1,14760,20500,17500,18500,19000,,,
4260,06455-KYE-901,DISCPAD DPN AHM MEGAPRO MONO,,,0,44635,56500,48100,50900,52000,,,
3456,06535-041-010,COMSTIR AHM GL/CB/TIGER TK1L1A10,,,0,81370,103000,87550,93000,95000,,,
3528,06535-041-010-IP,COMSTIR IP PRO/TIGER/M PRO TK2-B-4-8,,,0,40500,54000,45900,48600,50000,,,
3457,06535-GN5-505,COMSTIR AHM GRAND TK1L9/9,,,0,81370,103000,87550,93000,95000,,,
3532,06535-GN5-505-IP,COMSTIR IP SUPRA/GRAND/ALL BEBEK TK2-B-3-9,,,0,40500,54000,45900,48600,50000,,,
3458,06535-KTR-900,COMSTIR AHM MEGAPRO MONO/VERZA TK1L9/9,,,0,82555,104500,88900,94500,96500,,,
12010,08143-62017-001,LAKER SUZUKI 6201,,,0,19355,24500,20850,22500,23000,,,
12804,08294M99Z8YZ1,OLI GIR AHM 48,,,-12,17160,21500,18400,18700,19500,,,
6,08CLA-H50-500A,AIR RADIATOR AHM 12 AHM,,15600/16000 SM,-51,18000,21500,19800,20000,20500,,,
12011,09262-25122-000,LAKER SUZUKI 6205 BANDUL,,,0,44635,56500,48100,51000,52000,,,
12012,09262-25124-000,LAKER SUZUKI SC205 BANDUL KN SHO,,,3,52140,66000,56100,59500,61000,,,
12008,09262-35063-000,LAKER SUZUKI 6007 SHOGUN,,,0,54510,69000,58700,62500,63500,,,
12009,09262-35088-000,LAKER SUZUKI 6007 SPIN,,,0,69915,88500,75250,80000,81500,,,
12078,09263-28027-0B0,LECES PEN SUZUKI THUNDER TK2-B,,,0,144570,183000,155550,164700,168360,,,
12076,09263-30065-0B0,LECES PEN SUZUKI FU TK2-B,,,0,71890,91000,77350,81900,83720,,,
12077,09263B28040N0B0,LECES PEN SUZUKI SMASH TK2-B,,,0,35550,45000,38250,40500,41400,,,
1124,09471-12008-000,BALON STOP SUZUKI,,9500,0,9875,12500,10650,11250,11500,,,
1042,09471-12013-000,BALON DPN SUZUKI BEBEK 12V 25 W,,,0,11850,15000,12750,13500,14000,,,
1043,09471B23FA0N000,BALON DPN SUZUKI SATRIA FU 18 W,,,0,31205,39500,33600,35550,36500,,,
4952,0SKGIRDB-SMAN,GIR DPN BLK SMASH NEW 36T OSK/BGP TK2-C,,,0,31700,55000,35000,36500,38000,,,
8820,0SKKGANDAA-V125,KAMPAS GANDA ASSY VARIO 125 0SK TK2-G,,,0,100000,160000,110000,115000,120000,,,
17683,10-129-IP,RUJI IP 129 MIO/J F,,,0,22940,31000,26400,27900,29000,,,
17684,10-130B-IP,RUJI IP 130  VARIO/BEAT F,,,0,22940,31000,26400,27900,29000,,,
17686,10-154-IP,"RUJI IP 154 MX, JUP Z NEW, JUP F1, VEGA RN;ZR RR",,,40,22940,31000,26400,27900,29000,,,
17687,10-159B-IP,RUJI IP 159 ALL BEBEK R,,,41,23310,31500,26800,28400,29000,,,
17689,10-162-IP,RUJI IP 162,,,0,23310,31500,26800,28400,29000,,,
17690,10-164-IP,"RUJI IP 164 RXK, RXS, RGR, RZR, L2S Â®",,,0,22940,31000,26400,27900,29000,,,
17691,10-172-IP,"RUJI IP 172 SHO, THORNADO F",,,0,23310,31500,26800,28400,29000,,,
17692,10-180-IP,RUJI IP 180 RXK/S F,,,0,23680,32000,27200,28800,29500,,,
17693,10-184-IP,RUJI IP 184 SUPRA/KPH/REVO F,,,0,23310,31500,26800,28400,29000,,,
17694,10-196-IP,RUJI IP 196 PRO GL F,,,0,23680,32000,27200,28800,29500,,,
17696,10-94B-IP,RUJI IP 94 VARIO/BEAT R,,,0,22940,31000,26400,27900,29000,,,
1771,11005-1855,BURING KAWASAKI NINJA,,,0,3498600,4528000,3910500,4116000,4116000,,,
20106,11012-1867,TUTUP OLI KAWASAKI KAZE,,,0,15300,19800,19800,19800,18000,,,
1919,11013-0006,BUSA FILTER KAWASAKI ZX,,,0,21250,27500,24000,25000,25000,,,
1917,11013-0020,BUSA FILTER KAWASAKI NINJA KARBU,,,0,51000,66000,57000,60000,60000,,,
1914,11013-0790,BUSA FILTER KAWASAKI KLX,,,0,108800,141000,122000,128000,128000,,,
1915,11013-0796,BUSA FILTER KAWASAKI KLX 150,,,0,89250,115500,100000,105000,105000,,,
1912,11013-0797,BUSA FILTER KAWASAKI ATHELE,,,0,21250,27500,24000,25000,25000,,,
1916,11013-1212,BUSA FILTER KAWASAKI NINJA,,,0,77350,100500,86500,91000,91000,,,
1913,11013-1241,BUSA FILTER KAWASAKI KAZE,,,0,22100,29000,25000,26000,26000,,,
1918,11013-1269,BUSA FILTER KAWASAKI NINJA RR,,,0,64600,84000,72500,76000,76000,,,
17663,1110-130,RUJI AHM VARIO DPN 130,,,0,77420,98000,83300,88500,90500,,,
17659,1110-159NSNB,RUJI AHM 159 BLK,,,0,74260,94000,80000,85000,86500,,,
17555,11-10-162,RUJI 162 ASPIRA,,,0,26070,40000,34000,36000,37000,,,
17600,11-10-180,RUJI 180 ASPIRA,,,0,26070,40000,34000,36000,37000,,,
17605,11-10-184,RUJI 184 ASPIRA,,,0,26070,40000,34000,36000,37000,,,
17626,1110-196NS,RUJI 196 AHM MEGAPRO,,,0,32800,44000,37400,39600,40480,,,
17662,1110-94,RUJI AHM SPACY/VARIO,,,0,75840,96000,81600,86500,88500,,,
17661,1111-160,RUJI AHM KARISMA/REVO/SUPRA/SUPRA FIT,,,0,22910,29000,24650,26500,27000,,,
17604,11-11-183,RUJI 183 ASPIRA,,,0,24490,40000,34000,36000,37000,,,
17660,1111-183,RUJI AHM KARISMA,,,0,68730,87000,74000,78500,80500,,,
1775,11210-09G10-000,BURING SUZUKI SMASH,,,0,369325,467500,397500,421000,430500,,,
1772,11210-09J10-0F0,BURING SUZUKI NEX,,MATARAM,0,257540,326000,277100,293500,300000,,,
1774,11210-20G00-000,BURING SUZUKI SHOGUN 125,,MATARAM,0,410010,519000,441500,467500,477500,,,
1773,11211-25G50-0F0,BURING SUZUKI SATRIA FU,,,0,1352875,1712500,1456000,1541500,1575500,,,
1776,11211-33G10-0F0,BURING SUZUKI SPIN 125SKY,,,0,319160,404000,343500,364000,372000,,,
16832,11-25H-88,RANTAI KAMPRAT ASPIRA SUPRA FIT NEW 88,,,0,29230,38000,32500,34250,35000,,,
16820,11-25H-90,RANTAI KAMPRAT ASPIRA BLADE ONLY,,,0,26465,34500,29500,31250,31750,,,
16822,11-25H-98,RANTAI KAMPRAT ASPIRA GL 100 98,,,0,30810,40000,34000,36000,37000,,,
20105,11361-KVY-900,TUTUP OLI AHM BEAT FI,,,0,13000,19000,19000,19000,16000,,,
11901,11-6002-2RS1/C3H,LAKER ASPIRA 6002-2RS1/C3H,,,-9,23328,37000,31500,33500,34250,,,
11902,11-6201RS,LAKER ASPIRA 6201RS TUTUPAN,,,29,14904,23500,20000,21250,21750,,,
11905,11-6205-Z-HN3CN,LAKER ASPIRA 6205Z BEAT FI,,,3,27300,42500,36250,38250,39250,,,
11911,11-6300RS,LAKER ASPIRA 6300 RS TUTUP,,,0,17550,28000,24000,25250,26000,,,
11909,11-63/22,LAKER ASPIRA 63/22-R,,,0,55080,85000,68000,72500,76500,,,
11908,11-63/22-L,LAKER ASPIRA 63/22-L,,,4,55080,87000,74000,78500,80250,,,
16830,11-92RH-100,RANTAI KAMPRAT ASPIRA NEOTECH 100,,,0,72680,92000,78250,83000,84750,,,
16833,11-92RH-102,RANTAI KAMPRAT ASPIRA TIGER 102,,,0,72285,91500,78000,82500,84250,,,
16825,11-92RH-86,RANTAI KAMPRAT ASPIRA JUPITER Z 86,,,0,61225,83500,71000,75250,77000,,,
16831,11-92RH-88,RANTAI KAMPRAT ASPIRA SMASH NEW 88,,,0,62805,84500,72000,76250,77750,,,
16829,11-92RH-90,RANTAI KAMPRAT ASPIRA MIO/NOUVO/VARIO/CS1 90,,,0,63595,86500,73750,78000,79750,,,
16826,11-92RH-92,RANTAI KAMPRAT ASPIRA KARISMA/VARIO 125/SUPRA X 125 92,,,0,64385,88500,75250,79750,81500,,,
16828,11-92RH-94,RANTAI KAMPRAT ASPIRA MEGAPRO MONO 94,,,0,65965,95000,80750,85500,87500,,,
16834,11-92RH-96,RANTAI KAMPRAT ASPIRA VEGA ZR,,,0,67545,94500,80500,85250,87000,,,
11906,11-BB1-4708,LAKER ASPIRA 6207 VARIO B BB1-4708,,,3,42120,68000,58000,61250,62750,,,
11904,11-BB1-4710,LAKER ASPIRA 6205 VARIO BANDUL KECIL,,,6,34344,56000,47750,50500,51750,,,
11900,11-BB1-4724,LAKER ASPIRA 60/22 BB1-4724,,,2,25920,42000,35750,38000,38750,,,
2280,11-CARB-CL-500,CARBURATOR INJECTOR CLEANER ASPIRA,,,-4,31600,40000,34000,36000,37000,,,
15,11-GM5Z-3BKIT,AKI ASPIRA GRAND BASAH GM5Z,,126222,-1,130260,151000,137000,138000,141000,,,
16,11-GM5Z-3BMF,AKI ASPIRA GRAND KERING GM5Z 3BMF,,137755,0,144089,179000,151500,155500,159500,,,
17,11-GTZ5S-KIT,AKI ASPIRA KARISMA BASAH KIT GTZ5S,,,0,145000,188000,152000,158500,162000,,,
18,11-GTZ-5SMF,AKI ASPIRA KARISMA MF GTZ5S,,136800,0,147450,188000,153000,156000,160000,,,
19,11-GTZ-6VMF,AKI ASPIRA VARIO 125 GTZ6V,,199500,-1,201500,250000,211500,220500,225000,,,
1054,11-H12V1818H4,BALON HALOGEN ASPIRA KAZE,,,0,11850,16000,13750,14500,14750,,,
1051,11-H12V2525H4,BALON HALOGEN ASPIRA GRAND 25 W,,,0,11850,16000,13750,14500,14750,,,
1053,11-H12V3232H4,BALON HALOGEN ASPIRA KARISMA 35W,,,0,14220,18000,15300,16500,17000,,,
1056,11-H12V3530H5,BALON HALOGEN ASPIRA SUPRA,,,0,11850,16000,13750,14500,14750,,,
1052,11-H12V3535H4,BALON HALOGEN ASPIRA GRAND 35 W,,pt astra otopart,0,11850,16000,13750,14500,14750,,,
1050,11-H12V3535H5,BALON HALOGEN ASPIRA GL35 W,,,0,11850,16000,13750,14500,14750,,,
1057,11-H12V3535PX43T,BALON HALOGEN ASPIRA VIXION 35 W,,,0,23700,30000,25500,27000,27750,,,
1055,11-H12V55PX26DH7,BALON HALOGEN ASPIRA NINJA,,,0,24490,31000,26500,28000,28750,,,
1049,11-H12V6055P43TH4,BALON HALOGEN ASPIRA CBR 60 W,,,0,26860,34000,29000,30750,31500,,,
2054,11-P10Y,BUSI ASPIRA H90 CHAMPION,,,0,13800,18000,15500,16250,16750,,,
2051,11-PA7HC,BUSI ASPIRA GL CHAMPION,,,0,13800,18000,15500,16250,16750,,,
2050,11-PL95YC,BUSI ASPIRA FI PL95YC CHAMPION,,,10,13800,18000,15500,16250,16750,,,
2053,11-PZ11HC,BUSI ASPIRA GRAND CHAMP,,13150,10,13800,18000,15500,16250,16750,,,
2055,11-RG6YC,BUSI ASPIRA KARISMA CHAMPION,,,0,15000,20500,17500,18500,19000,,,
2139,11-TS-350,CAIRAN TUBELESS ASPIRA K 350,,ASTRA OTOPART,0,23700,31500,27000,28500,29000,,,
2138,11-TS-500,CAIRAN TUBELESS ASPIRA B 500ML,,ASTRA OTOPART,3,29230,38500,32750,34750,35500,,,
10623,12005-0725,KLEP KECIL KAWASAKI KLX,,SINAR GEMALA,0,136000,176000,152000,160000,160000,,,
1752,12010-KVL-N00,BURING AHM SUPRA X 125 N,,,0,299410,379000,322200,341100,349000,,,
12346,12021-1094,MEMBRAN ASSY KAWASAKI NINJA,,Sinar gemala,0,332350,431000,371500,391000,391000,,,
4208,12022-1068,DAUN MEMBRAN KAWASAKI NINJA,,SINAR GEMALA,0,44200,57500,49500,52000,52000,,,
9965,12053-0006,KARET TENSIONER KAWASAKI ATHELETE,,,0,81600,106000,91200,96000,96000,,,
9973,12053-0024,KARET TENSIONER KAWASAKI ZX130 PANJANG,,,0,33150,43000,37100,39000,39000,,,
9974,12053-0047,KARET TENSIONER KAWASAKI ZX130 PENDEK,,,0,29750,38500,33500,35000,35000,,,
9970,12053-0126,KARET TENSIONER KAWASAKI KLX150 PENDEK,,,0,159000,206000,177700,187000,187000,,,
9969,12053-0127,KARET TENSIONER KAWASAKI KLX150 PANJANG,,,0,159000,206000,177700,187000,187000,,,
9966,12053-0155,KARET TENSIONER KAWASAKI BLITZ,,,0,40000,52000,44650,47000,47000,,,
9964,12053-0185,KARET TENSIONER KAWASAKI ATHELE A,,,0,28050,36500,31350,33000,33000,,,
9971,12053-023,KARET TENSIONER KAWASAKI MERZY A,,,0,63750,82500,71250,75000,75000,,,
9972,12053-024,KARET TENSIONER KAWASAKI MERZY B,,,0,136850,177500,153000,161000,161000,,,
9968,12053-1087,KARET TENSIONER KAWASAKI KAZE PANJANG,,,0,109650,142000,122600,129000,129000,,,
9967,12053-1341,KARET TENSIONER KAWASAKI KAZE,,,0,136850,177500,153000,161000,161000,,,
16078,12100-07H00-050,PISTON KIT SUZUKI SMASH/ NEW 50,,,0,117315,148500,126250,134000,137000,,,
16079,12100-07H00-0F0,PISTON KIT SUZUKI SMASH/N STD,,,0,121265,153500,130500,138500,141500,,,
16077,12100-07H00-100,PISTON KIT SUZUKI SMASH/ NEW 100,,,0,121265,153500,130500,138500,141500,,,
16062,12100-09J01-050,PISTON KIT SUZUKI NEX 50,,,0,111390,141000,120000,127000,130000,,,
16063,12100-09J01-0F0,PISTON KIT SUZUKI NEX STD,,,0,111390,141000,120000,127000,130000,,,
16081,12100-12F50-050,PISTON KIT THUNDER 50 SUZUKI,,,0,625680,792000,673200,713000,729000,,,
16072,12100-20G30-0F0,PISTON KIT SUZUKI SHOGUN/SP 125 STD,,,0,124820,158000,134300,142500,145500,,,
16071,12100-20G30-100,PISTON KIT SUZUKI SHOGUN/SP 125 100,,,0,124820,158000,134300,142500,145500,,,
16067,12100-21820-000,PISTON KIT SUZUKI SATRIA STD,,,0,540563,697500,592900,628000,642000,,,
16065,12100-21820-075,PISTON KIT SUZUKI SATRIA 75,,,0,551025,697500,593000,628000,642000,,,
16066,12100-25G10-0F0,PISTON KIT SUZUKI SATRIA FU 150R STD,,MATARAM,0,149310,189000,161000,170500,174000,,,
16069,12100-30D88-050,PISTON KIT SUZUKI SHOGUN 50,,,0,146940,186000,158500,167500,171500,,,
16070,12100-30D88-0F0,PISTON KIT SUZUKI SHOGUN STD,,,0,124030,157000,133500,141500,145500,,,
16068,12100-30D88-100,PISTON KIT SUZUKI SHOGUN 100,,,0,133510,169000,143650,152500,155500,,,
16075,12100-45H00-050,PISTON KIT SUZUKI SMASH TITAN 50,,,0,144175,182500,155200,164500,168000,,,
16076,12100-45H00-0F0,PISTON KIT SUZUKI SMASH TITAN STD,,,0,137950,178000,153000,160500,164000,,,
16080,12100-46G00-0F0,PISTON KIT SUZUKI SPIN,,,0,139830,177000,150500,159500,163000,,,
16073,12100B20G30N050,PISTON KIT SUZUKI SHOGUN/SP/ARASHI 125 50,,,0,124820,158000,134300,142500,145500,,,
16064,12100B22J00N025,PISTON KIT SUZUKI SATRIA 25,,,0,551025,697500,593000,628000,642000,,,
16074,12100B46G00N0F0,PISTON KIT SUZUKI SKYWAVE STD,,,0,114550,145000,123300,130500,133500,,,
1747,12100-K03-H10,BURING AHM REVO FI,,,0,260305,329500,280100,296600,303500,,,
1742,12100-K0J-N00,BURING AHM GENIO,,,0,205005,259500,220600,233600,239000,,,
1741,12100-K15-900,BURING AHM CBR 150,,,0,401715,508500,432300,458000,468000,,,
1746,12100-K1Z-T00,BURING AHM PCX 160,,,0,268995,340500,289500,306500,313500,,,
1739,12100-K25-600,BURING AHM BEAT FI ESP,,,0,370115,468500,398300,421700,431500,,,
1748,12100-K56-N00,BURING AHM SONIC NEW,,,0,284005,359500,305600,323550,331000,,,
1753,12100-KCN-003,BURING AHM TIGER,,,0,317975,402500,342200,362500,370500,,,
1744,12100-KFM-900,BURING AHM LEGENDASUPRA FIT,,,0,456620,578000,491300,520200,532000,,,
1750,12100-KPH-700,BURING AHM SUPRA X 125 FI,,,0,303360,384000,326400,346000,353500,,,
1754,12100-KVB-900,BURING AHM VARIO,,,0,187625,237500,202000,214000,218500,,,
1738,12100-KVY-900,BURING AHM BEAT,,,0,279265,353500,300500,318200,325500,,,
1740,12100-KWB-920,BURING AHM BLADE/REVO ABS,,,0,415145,525500,446700,473000,483500,,,
1745,12100-KYE-900,BURING AHM MEGAPRO MONO,,,0,354315,448500,381300,403700,413000,,,
1751,12100-KYZ-710,BURING AHM SUPRA X 125 HELM INK,,,0,277290,351000,298400,315900,323000,,,
1749,12100-KZL-930,BURING AHM SPACY/BEAT FI,,,0,279265,353500,300500,318200,325500,,,
1743,12101-GN5-910,BURING AHM GRAND,,,0,434895,550500,468000,495500,506500,,,
3815,12105-09G00-000-IP,CONRODKIT IP SMASH TK2-B,,,0,116250,155000,132000,139500,143000,,,
3990,12105-12812-000,CONRODKIT SUZUKI A100 TK2-B,,,0,647405,819500,696600,734000,754000,,,
3817,12105-12F50-000-IP,CONRODKIT IP THUNDER125 TK2-B,,,0,123750,165000,140500,148500,152000,,,
3814,12105-20G00-000-IP,CONRODKIT IP SHOGUN125 TK2-B,,,0,116250,155000,132000,139500,143000,,,
3665,12105-21812-000,CONROD ONLY SUZUKI SATRIA TK2-B,,,0,377225,478000,406300,430200,439760,,,
3810,12105-21812-000-IP,CONRODKIT IP SATRIA (RU120 TK2-B,,,0,120750,161000,137000,145000,149000,,,
3811,12105-25G00-000-IP,CONRODKIT IP SATRIA FU TK2-B,,,0,131250,175000,149000,157500,161000,,,
3813,12105-30D02-000-IP,CONRODKIT IP SHOGUN FD110 TK2-B,,,0,116250,155000,132000,139500,143000,,,
3806,12105-35840-000-IP,CONRODKIT IP RC80/RC100/RC110 TK2-B,,MATARAM MITRA SENTOSA,0,97500,130000,110500,117000,120000,,,
3816,12105-46G50-000-IP,CONRODKIT IP SPIN/SMASHTITAN/SKYWAVE/SKYDRIVE TK2-B,,,0,128250,171000,145500,154000,158000,,,
1756,1210A-K59-A10,BURING AHM VARIO 150,,,0,340490,431000,366400,387900,397000,,,
1755,1210A-KZR-600,BURING AHM VARIO 125,,,0,256355,324500,275900,292100,299000,,,
16188,12110-12003-050,PISTON SUZUKI A 100 50,,,0,138487,180300,157770,161276,175300,,,
16206,12110-21D71-100,PISTON SUZUKI SATRIA 100,,,0,109810,144000,125100,127880,139000,,,
16204,12110-28614-025,PISTON SUZUKI RM 125 25,,,0,44240,61000,50400,51520,56000,,,
16205,12110-28614-050,PISTON SUZUKI RM 125 50,,,0,44240,61000,50400,51520,56000,,,
16190,12110-31C00-025,PISTON SUZUKI CRYSTAL 25 TK2-M,,,0,199870,258000,227700,232760,253000,,,
16191,12110-31C00-050,PISTON SUZUKI CRYSTAL 5,,,0,84767,112300,96570,98716,107300,,,
16192,12110-31C00-075,PISTON SUZUKI CRYSTAL 75,,,0,102226,134400,116460,119048,129400,,,
16193,12110-31C00-0F0,PISTON SUZUKI CRYSTAL STD,,,0,199870,258000,227700,232760,253000,,,
16202,12110-35407-050,PISTON SUZUKI RC 80 50,,,0,143859,187100,163890,167532,182100,,,
16203,12110-35407-0F0,PISTON SUZUKI RC 80 STD,,,0,176565,228500,201150,205620,223500,,,
